name	binaryflag	mass	radius	period	semimajoraxis	eccentricity	periastron	longitude	ascendingnode	inclination	temperature	age	discoverymethod	discoveryyear	lastupdate	system_rightascension	system_declination	system_distance	hoststar_mass	hoststar_radius	hoststar_metallicity	hoststar_temperature	hoststar_age	list
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
	0																							Kepler Objects of Interest
